Date,Team,Win,Loss,Tie,Diff,Division,Cum_Win,Cum_Loss,Cum_Tie,Cum_Diff,Season,Standing
01-23-2026,A-01 Hue’s Your Daddy,0,0,0,0.0,A,0,0,0,0.0,Spring,1
01-23-2026,A-18 Rosebuds,0,0,0,0.0,A,0,0,0,0.0,Spring,2
01-23-2026,A-17 Brown Beaver Baddies,0,0,0,0.0,A,0,0,0,0.0,Spring,3
01-23-2026,A-16 50 Shades of Slay,0,0,0,0.0,A,0,0,0,0.0,Spring,4
01-23-2026,A-15 Spikadelic,0,0,0,0.0,A,0,0,0,0.0,Spring,5
01-23-2026,A-14 ROYGDig,0,0,0,0.0,A,0,0,0,0.0,Spring,6
01-23-2026,A-13 Blue Ball Control,0,0,0,0.0,A,0,0,0,0.0,Spring,7
01-23-2026,A-12 Mint Condition,0,0,0,0.0,A,0,0,0,0.0,Spring,8
01-23-2026,A-10,0,0,0,0.0,A,0,0,0,0.0,Spring,9
01-23-2026,A-09 Serve the Rainbow,0,0,0,0.0,A,0,0,0,0.0,Spring,10
01-23-2026,A-08 Crayon Crunchers,0,0,0,0.0,A,0,0,0,0.0,Spring,11
01-23-2026,A-07 Orange You Glad We Serve,0,0,0,0.0,A,0,0,0,0.0,Spring,12
01-23-2026,A-06 Red Bottoms,0,0,0,0.0,A,0,0,0,0.0,Spring,13
01-23-2026,A-05 Send Nudes,0,0,0,0.0,A,0,0,0,0.0,Spring,14
01-23-2026,A-04,0,0,0,0.0,A,0,0,0,0.0,Spring,15
01-23-2026,A-03 Chromatic Chaos,0,0,0,0.0,A,0,0,0,0.0,Spring,16
01-23-2026,A-11 Paint the Town Red,0,0,0,0.0,A,0,0,0,0.0,Spring,17
01-23-2026,A-02 Fifty Shades of Gay,0,0,0,0.0,A,0,0,0,0.0,Spring,18
01-30-2026,A-08 Crayon Crunchers,4,0,0,38.0,A,4,0,0,38.0,Spring,1
01-30-2026,A-16 50 Shades of Slay,4,0,0,8.0,A,4,0,0,8.0,Spring,2
01-30-2026,A-07 Orange You Glad We Serve,3,1,0,15.0,A,3,1,0,15.0,Spring,3
01-30-2026,A-14 ROYGDig,3,1,0,9.0,A,3,1,0,9.0,Spring,4
01-30-2026,A-18 Rosebuds,3,1,0,6.0,A,3,1,0,6.0,Spring,5
01-30-2026,A-02 Fifty Shades of Gay,2,1,1,17.0,A,2,1,1,17.0,Spring,6
01-30-2026,A-04,2,1,1,6.0,A,2,1,1,6.0,Spring,7
01-30-2026,A-01 Hue’s Your Daddy,2,1,1,4.0,A,2,1,1,4.0,Spring,8
01-30-2026,A-05 Send Nudes,2,2,0,7.0,A,2,2,0,7.0,Spring,9
01-30-2026,A-03 Chromatic Chaos,2,2,0,-4.0,A,2,2,0,-4.0,Spring,10
01-30-2026,A-11 Paint the Town Red,2,2,0,-13.0,A,2,2,0,-13.0,Spring,11
01-30-2026,A-13 Blue Ball Control,1,3,0,-1.0,A,1,3,0,-1.0,Spring,12
01-30-2026,A-10,1,3,0,-7.0,A,1,3,0,-7.0,Spring,13
01-30-2026,A-15 Spikadelic,1,3,0,-11.0,A,1,3,0,-11.0,Spring,14
01-30-2026,A-06 Red Bottoms,1,3,0,-13.0,A,1,3,0,-13.0,Spring,15
01-30-2026,A-09 Serve the Rainbow,1,3,0,-21.0,A,1,3,0,-21.0,Spring,16
01-30-2026,A-17 Brown Beaver Baddies,0,3,1,-15.0,A,0,3,1,-15.0,Spring,17
01-30-2026,A-12 Mint Condition,0,4,0,-25.0,A,0,4,0,-25.0,Spring,18
02-06-2026,A-16 50 Shades of Slay,2,2,0,-4.0,A,6,2,0,4.0,Spring,1
02-06-2026,A-01 Hue’s Your Daddy,3,1,0,20.0,A,5,2,1,24.0,Spring,2
02-06-2026,A-11 Paint the Town Red,3,1,0,17.0,A,5,3,0,4.0,Spring,3
02-06-2026,A-07 Orange You Glad We Serve,2,2,0,-17.0,A,5,3,0,-2.0,Spring,4
02-06-2026,A-02 Fifty Shades of Gay,2,2,0,10.0,A,4,3,1,27.0,Spring,5
02-06-2026,A-08 Crayon Crunchers,0,3,1,-21.0,A,4,3,1,17.0,Spring,6
02-06-2026,A-15 Spikadelic,3,0,1,20.0,A,4,3,1,9.0,Spring,7
02-06-2026,A-10,3,1,0,25.0,A,4,4,0,18.0,Spring,8
02-06-2026,A-18 Rosebuds,1,3,0,7.0,A,4,4,0,13.0,Spring,9
02-06-2026,A-13 Blue Ball Control,3,1,0,10.0,A,4,4,0,9.0,Spring,10
02-06-2026,A-05 Send Nudes,2,2,0,1.0,A,4,4,0,8.0,Spring,11
