TEAM 1,TEAM 2,DIVISION,DATE,TIME,COURT,REF
E-01,E-03,ELITE,Aug 21 26,7:00 PM,4,2
E-03,E-02,ELITE,Aug 21 26,7:45 PM,4,1
E-01,E-02,ELITE,Aug 21 26,8:30 PM,4,3
E-05,E-06,ELITE,Aug 21 26,9:15 PM,4,4
E-06,E-04,ELITE,Aug 21 26,10:00 PM,4,5
E-05,E-04,ELITE,Aug 21 26,10:45 PM,4,6
P-05,P-04,POWER,Aug 21 26,7:00 PM,2,6
P-04,P-06,POWER,Aug 21 26,7:45 PM,2,5
P-05,P-06,POWER,Aug 21 26,8:30 PM,2,4
P-08,P-07,POWER,Aug 21 26,7:00 PM,3,9
P-07,P-09,POWER,Aug 21 26,7:45 PM,3,8
P-08,P-09,POWER,Aug 21 26,8:30 PM,3,7
P-02,P-01,POWER,Aug 21 26,9:15 PM,3,3
P-01,P-03,POWER,Aug 21 26,10:00 PM,3,2
P-02,P-03,POWER,Aug 21 26,10:45 PM,3,1
A-09,A-08,ADVANCED,Aug 21 26,7:00 PM,1,7
A-08,A-07,ADVANCED,Aug 21 26,7:45 PM,1,9
A-09,A-07,ADVANCED,Aug 21 26,8:30 PM,1,8
A-17,A-16,ADVANCED,Aug 21 26,9:15 PM,1,18
A-16,A-18,ADVANCED,Aug 21 26,10:00 PM,1,17
A-17,A-18,ADVANCED,Aug 21 26,10:45 PM,1,16
S-09,S-08,SKILLED,Aug 21 26,7:00 PM,5,7
S-08,S-07,SKILLED,Aug 21 26,7:45 PM,5,9
S-09,S-07,SKILLED,Aug 21 26,8:30 PM,5,8
S-17,S-16,SKILLED,Aug 21 26,9:15 PM,5,18
S-16,S-18,SKILLED,Aug 21 26,10:00 PM,5,17
S-17,S-18,SKILLED,Aug 21 26,10:45 PM,5,16
S-02,S-01,SKILLED,Aug 21 26,7:00 PM,6,3
S-01,S-03,SKILLED,Aug 21 26,7:45 PM,6,2
S-02,S-03,SKILLED,Aug 21 26,8:30 PM,6,1
